J4	61.07	101.66	180.00	KH-TYPE-C-16P	KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1	79.26	92.20	0.00	3.9nH	NORDIC_NRF_2_RESC0402_L
L2	76.73	92.20	0.00	10µH	NORDIC_NRF_2_RESC0402_L
L3	74.38	92.20	0.00	15nH	NORDIC_NRF_2_RESC0402_L
L5	53.53	91.95	0.00	68uH	NORDIC_NRF_2_RESC0402_L
L7	57.86	94.31	0.00	FTC252012SR47MBCA	MLP2016SR47MT0S1_INDC2016X100N
Q3	54.66	82.37	0.00	SI1308EDL-T1-GE3	ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17	55.96	91.37	0.00	3K3	CPF0201D7K68C1_0201
R18	56.67	91.37	0.00	3K3	CPF0201D7K68C1_0201
R1_EP_DR	79.90	82.62	0.00	0.47	ERA-1AEB3401C_0201
R1_USB	55.61	97.62	0.00	5K1	CPF0201D7K68C1_0201
R2	78.07	82.62	0.00	0	CPF0201D7K68C1_0201
R2_EP_DR	76.28	82.62	0.00	10K	ERA-1AEB3401C_0201
R2_USB	56.33	97.51	0.00	5K1	ERA-1AEB3401C_0201
R3	74.45	82.62	0.00	0	ERA-1AEB3401C_0201
R4	65.16	89.87	0.00	0	CPF0201D7K68C1_0201
R5	57.37	91.37	0.00	10k	CPF0201D7K68C1_0201
R7	72.83	82.62	0.00	10k	CPF0201D7K68C1_0201
R8	71.29	82.62	0.00	10k	CPF0201D7K68C1_0201
R9	68.00	82.62	0.00	10K	ERA-1AEB3401C_0201
R_PWR_EPD	55.38	91.37	0.00	10K	CPF0201D7K68C1_0201
R_TYPE_SEL	69.59	82.62	0.00	2.2	ERA-1AEB3401C_0201
SJ1	73.59	95.71	0.00		ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN	72.35	73.56	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT	61.35	73.31	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP	50.35	73.31	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V	76.01	78.48	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_3V3	62.61	78.48	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_BAT_GND	53.89	78.38	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_GND	78.90	78.48	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_ON	59.49	78.48	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_OP	56.62	78.48	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_RESET	62.33	83.88	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SCL	65.98	78.48	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA	69.37	78.48	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDCLK	65.19	83.88	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDIO	59.51	83.88	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWO	82.04	78.48	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VBAT	72.68	78.48	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VREG	51.17	78.38	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
U1	61.35	88.67	0.00	NRF52840_QF	NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3	62.61	97.06	0.00	MAX17048G+T10	ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1	64.89	94.06	0.00	32MHz	NORDIC_NRF_BT-XTAL_2016_N
X2	76.22	89.81	0.00	32.768kHz 	NORDIC_NRF_1_XTAL_3215_N
